"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2018-12-05,0,3.4,14:16,-4.3,7:26,7.7
"		108",서울,2018-12-06,2.4,6.8,13:02,-1,23:56,7.8
"		108",서울,2018-12-07,-7.3,-1.1,0:01,-9.6,23:53,8.5
"		108",서울,2018-12-08,-8.3,-4.4,15:04,-11.4,7:25,7
"		108",서울,2018-12-09,-7.2,-2.1,15:38,-11.8,7:35,9.7
"		108",서울,2018-12-10,-2.5,4.6,15:21,-8.1,6:39,12.7
"		108",서울,2018-12-11,0.2,2.9,13:44,-2.4,0:10,5.3
"		108",서울,2018-12-12,-1.9,2.4,14:26,-5,7:27,7.4
"		108",서울,2018-12-13,-2.2,2.1,14:24,-5.9,23:58,8
"		108",서울,2018-12-14,-4.4,0.6,14:42,-7.8,8:20,8.4
"		108",서울,2018-12-15,-2.4,3.2,14:44,-7.8,7:34,11
"		108",서울,2018-12-16,0,2.1,15:31,-2.6,1:58,4.7
"		108",서울,2018-12-17,1.6,5.9,14:39,-1.5,23:59,7.4
"		108",서울,2018-12-18,2.6,7.4,14:05,-2.8,7:20,10.2
"		108",서울,2018-12-19,4,9.5,14:56,1.3,6:18,8.2
"		108",서울,2018-12-20,3.4,10.4,15:21,-1.1,7:00,11.5
"		108",서울,2018-12-21,5.6,9.8,15:55,0.4,1:53,9.4
"		108",서울,2018-12-22,6.9,12.4,15:04,2.9,8:35,9.5
"		108",서울,2018-12-23,2.4,7.5,13:45,-3.4,23:55,10.9
"		108",서울,2018-12-24,-2.3,3.1,13:59,-5.9,8:09,9
"		108",서울,2018-12-25,0.6,5.2,14:07,-4,1:05,9.2
"		108",서울,2018-12-26,-1.5,3,0:40,-7.1,23:59,10.1
"		108",서울,2018-12-27,-10.1,-6.5,14:28,-12.5,23:52,6
"		108",서울,2018-12-28,-10.5,-6.6,15:45,-14.4,7:24,7.8
"		108",서울,2018-12-29,-7.6,-3,15:25,-10.5,6:47,7.5
"		108",서울,2018-12-30,-6.8,-0.9,14:49,-11.3,5:33,10.4
"		108",서울,2018-12-31,-5.4,-0.5,14:53,-10.5,7:30,10
