movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew,genres,directors,actors,showTm,watchGradeNm,nations
20040688,빈집,2004-10-15,37685,244723500,6,OLD,드라마,김기덕,"이승연,재희,권혁호,주진모,이의수",88,15세관람가,한국
20040641,S 다이어리,2004-10-22,426701,2734097500,1,OLD,코미디,권종관,"공유,홍윤희,최우혁,이현우,김수로",104,15세관람가,한국
20040658,썸,2004-10-22,97951,624992000,4,NEW,스릴러,장윤현,"고수,강신일,강성진,김효인,신두현",118,15세관람가,한국
20040689,비포 선셋,2004-10-22,45695,309368000,7,NEW,드라마,리차드 링클레이터,"줄리 델피,에단 호크",80,15세관람가,미국
20040680,21 그램,2004-10-23,31181,206969000,8,NEW,드라마,알레한드로 곤잘레스 이냐리투,"숀 펜,나오미 왓츠",125,18세관람가,미국
20040671,주홍글씨,2004-10-29,427637,2772107500,1,NEW,"스릴러,멜로/로맨스",변혁,"성현아,한석규,이은주,엄지원,정인기",119,18세관람가,한국
20040695,이프 온리,2004-10-29,87626,573265000,6,OLD,"멜로/로맨스,판타지",길 정거,"제니퍼 러브 휴잇,폴 니콜스",95,15세관람가,미국
20040685,프린세스 다이어리 2,2004-10-29,60855,379634000,7,OLD,멜로/로맨스,게리 마샬,"줄리 앤드류스,앤 해서웨이",115,전체관람가,미국
20040673,내 머리 속의 지우개,2004-11-05,463193,2950525000,1,OLD,멜로/로맨스,이재한,"정우성,손예진,김부선,김중기,권병길",117,12세관람가,한국
20040696,레지던트 이블 2-아포칼립스,2004-11-05,124026,818386500,5,NEW,액션,알렉산더 윗,"오데드 페르,시에나 길로리",95,18세관람가,미국
20040694,완벽한 그녀에게 딱 한가지 없는 것,2004-11-05,24945,161969000,10,NEW,코미디,게리 위닉,"제니퍼 가너,마크 러팔로",98,15세관람가,미국
20040698,쉘 위 댄스,2004-11-12,45507,305957000,6,OLD,드라마,피터 첼섬,"제니퍼 로페즈,리차드 기어,수잔 서랜든",106,12세관람가,미국
