movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew
20228631,양자경의 더 모든 날 모든 순간,2022-11-23,10740,122114169,10,OLD
20205106,압꾸정,2022-11-30,364514,3463816170,2,NEW
20210364,탄생,2022-11-30,120384,1045619459,3,OLD
20227445,원피스 필름 레드,2022-11-30,119036,1285820683,4,OLD
20228308,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,77683,707367300,7,OLD
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,54955,541057912,8,OLD
20228602,엔시티 드림 더 무비 : 인 어 드림,2022-11-30,51414,1027919600,9,NEW
20227885,프레이 포 더 데블,2022-12-07,52835,549721211,6,OLD
20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,37058,382088135,8,NEW
20225061,아바타: 물의 길,2022-12-14,2680919,32487799214,1,OLD
20228655,스페이스 키드: 우주에서 살아남기,2022-12-07,26900,215957450,10,OLD
20196478,영웅,2022-12-21,804734,8052057757,2,OLD
20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,75248,715363766,6,OLD
20228309,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,26490,249894974,7,OLD
20215315,스위치,2023-01-04,6456,59104000,10,NEW
20210140,젠틀맨,2022-12-28,178851,1697482823,3,OLD
20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,25652,235671900,9,OLD
20228555,더 퍼스트 슬램덩크,2023-01-04,420119,4358290178,3,OLD
20224109,장화신은 고양이: 끝내주는 모험,2023-01-04,316095,2994435536,4,OLD
20228255,프린스 챠밍,2023-01-11,10203,89246300,9,OLD
20214823,유령,2023-01-18,8305,79369000,10,NEW
20190808,교섭,2023-01-18,660669,6783205814,1,OLD
20228895,캐리와 슈퍼콜라,2023-01-18,33217,309707736,9,OLD
20229166,라일 라일 크로커다일,2023-01-18,25987,249224247,10,NEW
20229551,상견니,2023-01-25,145205,1424038952,6,NEW
20229205,메간,2023-01-25,122514,1241085303,7,OLD
20227374,바빌론,2023-02-01,97204,978077100,4,OLD
20239691,방탄소년단: 옛 투 컴 인 시네마,2023-02-01,60467,1330179500,9,NEW
20223565,다음 소희,2023-02-08,39419,376268452,9,OLD
